day,weather,T_in,H_in,L,CO2,TempControl,HumControl,LightControl,CO2Control,T_out,H_out,Solar,Wind,N
1,sunny,22.0,55.0,300.0,800.0,5.551115123125783e-17,5.551115123125783e-17,9.549019607843139,7.993605777301132e-17,32,45,900,3,120
2,sunny,22.253907514491377,54.61607243389994,257.7450980392157,699.6199563764058,5.58657696994965e-17,5.565359756631348e-17,9.549019607843139,0.0,38,30,1000,2,120
3,cloudy,22.281942973811418,54.268500567839375,205.49019607843138,598.1139148496733,5.590520321238864e-17,5.578318702882914e-17,11.47549353301566,72.30723077450544,22,55,300,4,150
4,rainy,22.923293483980157,54.76105143166662,232.8676637435097,763.1237302516917,-1.2928863382466344e-16,5.559972105623197e-17,0.0,20.822487145211085,18,85,80,6,60
5,stormy,22.414060308848445,55.496965105312306,224.8676637435097,787.8629385200603,-1.2348965192645725e-16,5.569567661655908e-17,0.0,9.759994667565396,16,75,50,12,90
6,cold,22.395745778791156,55.50038038103936,219.8676637435097,744.4927802273652,5.606584678625815e-17,5.569694896824088e-17,12.500000000000005,32.406271649979374,8,60,200,5,40
7,cold,21.473605726362642,55.82006141199997,262.36766374350975,835.7983701493187,5.66139669938909e-17,5.5816303207397e-17,0.0,6.347008290269069e-17,3,70,100,8,110
8,humid,20.72379231899679,55.499042301871015,252.36766374350975,737.170463532019,-1.36198820946389e-16,5.569645046356036e-17,11.006678253660247,59.929255090852685,28,90,600,2,130
9,dry,21.20550175362281,55.324491310598304,247.40105501181097,871.5590756987631,2.4275694375434966e-16,5.56314974814465e-17,12.083317071098243,-2.3594297826831976e-16,26,20,700,5,30
10,night,21.259065279736173,55.148798117441096,237.8176403673022,844.0264731262337,2.417457568902098e-16,5.556627227597705e-17,30.0,2.233714927215689e-16,20,65,0,4,100
