antecedent,consequent,weight,count,source_row,confidence
Hin=Dry AND Hout=Dry AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=0,Acceptable,0.4631653806634147,1,11,0.8578444064830929
Hin=Normal AND Hout=Dry AND L=Normal AND Solar=Normal AND Wind=Medium AND N=Normal AND E=High AND W=3,Acceptable,0.370843424164077,1,764,0.7734883925549341
Hin=Normal AND Hout=Normal AND L=High AND Solar=Low AND CO2=Normal AND N=Normal AND E=High AND W=1,Poor,0.4398912139606609,1,80,0.9723334210149892
Hin=Normal AND Hout=Normal AND L=High AND Solar=Low AND CO2=Normal AND Wind=Medium AND E=High AND W=2,Poor,0.3773946360153258,1,558,0.9999999999981686
Hin=Normal AND Hout=Normal AND L=High AND Solar=Low AND Wind=Medium AND N=Low AND E=Normal AND W=0,Acceptable,0.3924276811787918,1,16,0.9820668835322192
Hin=Normal AND Hout=Normal AND L=High AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND W=0,Acceptable,0.4810703897285107,1,1174,0.9110473399126522
Hin=Normal AND Hout=Normal AND L=Low AND Solar=Normal AND CO2=Normal AND Wind=Medium AND E=Normal AND W=3,Acceptable,0.3600729821443305,1,1518,0.287683437174533
Hin=Normal AND Hout=Normal AND L=Normal AND CO2=Normal AND Wind=Medium AND N=Low AND E=Normal AND W=0,Acceptable,0.3882677387968317,1,190,0.8011830100282133
Hin=Normal AND Hout=Normal AND L=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=0,Acceptable,0.3492591028109878,1,414,0.8715314955606014
Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Low AND CO2=High AND Wind=High AND N=Normal AND W=0,Acceptable,0.4944528045799661,1,1602,0.9999999999969204
Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Low AND CO2=Normal AND Wind=Low AND N=Low AND W=3,Acceptable,0.3367744286002569,1,1167,0.7525868093546869
Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=High AND Wind=Medium AND E=Normal AND W=0,Acceptable,0.5156400007955728,1,244,0.8482121930543756
Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND N=Normal AND E=Normal AND W=3,Acceptable,0.4111386753124978,1,320,0.3571521539975232
Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND Wind=Medium AND N=Low AND E=High AND W=3,Acceptable,0.3473852763623821,1,1666,0.7641323354468457
Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=0,Acceptable,0.4867367642840229,1,303,0.8509437656558997
Hin=Normal AND Hout=Normal AND Solar=Low AND CO2=Normal AND Wind=Low AND N=Low AND E=Normal AND W=3,Acceptable,0.3625827706879077,1,1464,0.7603722485063896
Hin=Normal AND Hout=Normal AND Solar=Normal AND CO2=High AND Wind=Medium AND N=Low AND E=Normal AND W=3,Acceptable,0.3844965020612395,1,1108,0.5471866122929974
Hin=Normal AND Hout=Normal AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=High AND E=Normal AND W=3,Acceptable,0.3558759829060741,1,1172,0.3164861654463658
Hin=Normal AND Hout=Normal AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=Normal AND E=Normal AND W=0,Acceptable,0.3797699130018898,1,661,0.9564563091303384
Hin=Normal AND Hout=Wet AND L=Normal AND Solar=Low AND CO2=Normal AND Wind=Medium AND N=Normal AND W=1,Poor,0.3553754448756979,1,648,0.2557622704009815
Hin=Normal AND L=High AND Solar=Low AND CO2=Low AND Wind=Low AND N=High AND E=Normal AND W=3,Acceptable,0.4451799401210845,1,1339,0.9999999999979317
Hin=Normal AND L=Normal AND Solar=Low AND CO2=High AND Wind=Medium AND N=Low AND E=Normal AND W=1,Acceptable,0.3531819348100384,1,1726,0.3536427144471261
Hin=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=Normal AND E=High AND W=3,Acceptable,0.3966144078797751,1,1281,0.9086392316175664
Hin=Wet AND Hout=Wet AND L=Low AND Solar=High AND CO2=Normal AND Wind=Medium AND N=Normal AND W=3,Good,0.3833986931374841,1,470,0.365940884770583
Hin=Wet AND Hout=Wet AND L=Normal AND Solar=Low AND CO2=Normal AND Wind=Low AND E=Normal AND W=3,Acceptable,0.3457791121615602,1,643,0.999999999977676
Hin=Wet AND Hout=Wet AND L=Normal AND Solar=Low AND CO2=Normal AND Wind=Medium AND E=Normal AND W=2,Poor,0.6444059446963675,1,889,0.9999999999992588
Hin=Wet AND Hout=Wet AND L=Normal AND Solar=Low AND Wind=Medium AND N=High AND E=Normal AND W=1,Poor,0.4769862268280918,1,1008,0.2757714790905463
Hin=Wet AND Hout=Wet AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=High AND W=0,Poor,0.5325596764756699,1,1070,0.6001221601979222
Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=0,Acceptable,0.384300788155339,1,1235,0.847100553334293
Hout=Wet AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=Normal AND E=High AND W=1,Poor,0.4159599994898386,1,724,0.912770142808988
Tin=Cold AND Hin=Dry AND Hout=Normal AND L=Normal AND Solar=Normal AND Wind=Medium AND N=Normal AND W=3,Poor,0.3859540272639616,1,127,0.7737547885089128
Tin=Cold AND Hin=Normal AND Hout=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=1,Poor,0.4788219562652568,1,531,0.8806488843938026
Tin=Cold AND Hin=Normal AND Hout=Normal AND L=Low AND CO2=Normal AND N=Low AND E=Normal AND W=3,Poor,0.3960202776606257,1,1254,0.7062650135285211
Tin=Cold AND Hin=Normal AND Hout=Normal AND L=Normal AND CO2=High AND N=Normal AND E=Normal AND W=0,Poor,0.3871386740170477,1,253,0.8939602238361002
Tin=Cold AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Low AND N=Normal AND E=High AND W=2,Poor,0.4671356299462585,1,1124,0.999999999995309
Tin=Cold AND Hin=Normal AND Hout=Normal AND L=Normal AND Wind=Medium AND N=Low AND E=Normal AND W=3,Acceptable,0.3622823006646005,1,1071,0.6300070638742247
Tin=Cold AND Hin=Normal AND L=High AND Solar=Low AND CO2=Normal AND N=Low AND E=Normal AND W=1,Poor,0.3394202969066423,1,1435,0.9976111452599792
Tin=Cold AND Hin=Normal AND L=Normal AND Solar=Low AND CO2=Normal AND Wind=High AND E=Normal AND W=2,Poor,0.5167404860432353,1,192,0.9999999999988324
Tin=Cold AND Hin=Normal AND L=Normal AND Solar=Low AND Wind=Medium AND N=Normal AND E=Normal AND W=3,Acceptable,0.5293865726811088,1,289,0.9811630437407546
Tin=Cold AND Hin=Wet AND L=Low AND CO2=High AND Wind=Low AND N=Low AND E=Low AND W=3,Poor,0.3579871876833983,1,1201,0.9999481887236672
Tin=Cold AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=High AND Wind=Medium AND N=Normal AND W=3,Poor,0.4110844947583645,1,837,0.8471564050378498
Tin=Cold AND Hout=Wet AND L=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=1,Poor,0.3528675535429331,1,1712,0.8469597388647582
Tin=Cold AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=Normal AND E=Normal AND W=3,Acceptable,0.3562649196688218,1,563,0.7580489781197268
Tin=Cold AND Tout=Cold AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND Wind=Medium AND W=3,Poor,0.3892633926594656,1,1699,0.4941751829816199
Tin=Cold AND Tout=Cold AND Hout=Dry AND L=Normal AND Solar=Low AND CO2=Normal AND Wind=Medium AND W=3,Acceptable,0.436781609195402,1,949,0.9999999999879284
Tin=Cold AND Tout=Hot AND L=Normal AND Solar=Normal AND Wind=Low AND N=Normal AND E=High AND W=3,Poor,0.4824957705536721,1,386,0.9999999999912756
Tin=Cold AND Tout=Normal AND Hin=Dry AND L=Normal AND Solar=Normal AND N=Low AND E=Normal AND W=3,Poor,0.3501116152988714,1,263,0.843060055463994
Tin=Cold AND Tout=Normal AND Hin=Normal AND Hout=Normal AND CO2=Normal AND N=Normal AND E=Normal AND W=3,Poor,0.4546007576302645,1,74,0.4047649413536814
Tin=Cold AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Low AND N=Normal AND E=Normal AND W=3,Poor,0.5257761217899215,1,318,0.5370743705492752
Tin=Cold AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Low AND E=Normal AND W=1,Poor,0.425586276885281,1,243,0.8564595148435853
Tin=Cold AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND N=Low AND W=1,Poor,0.3473659671844797,1,1440,0.7833063216923284
Tin=Cold AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Wind=Low AND N=Low AND W=3,Acceptable,0.4391779850845796,1,826,0.7950660135192649
Tin=Cold AND Tout=Normal AND Hin=Normal AND Hout=Normal AND Solar=High AND CO2=Normal AND N=Normal AND W=3,Acceptable,0.3558858998514824,1,534,0.5503429083961429
Tin=Cold AND Tout=Normal AND Hin=Normal AND Hout=Normal AND Solar=Low AND Wind=Medium AND E=Normal AND W=2,Poor,0.3364929902089473,1,1693,0.9999999999975552
Tin=Cold AND Tout=Normal AND Hin=Normal AND Hout=Normal AND Solar=Normal AND Wind=Low AND N=Low AND W=0,Poor,0.3614717269898669,1,307,0.7860692516883455
Tin=Cold AND Tout=Normal AND Hin=Normal AND L=High AND Solar=Low AND N=Low AND E=Normal AND W=2,Poor,0.5145978513487178,1,1317,0.9999999999982488
Tin=Cold AND Tout=Normal AND Hin=Normal AND Solar=Low AND CO2=High AND Wind=High AND N=Low AND W=1,Poor,0.3913341439890599,1,1219,0.999999999998036
Tin=Cold AND Tout=Normal AND Hin=Normal AND Solar=Normal AND CO2=Low AND Wind=Low AND N=Normal AND W=3,Poor,0.3674510773478893,1,990,0.433061920591168
Tin=Cold AND Tout=Normal AND Hin=Wet AND CO2=Normal AND Wind=Medium AND N=High AND E=Normal AND W=1,Poor,0.3668424444186509,1,265,0.8052388304158327
Tin=Cold AND Tout=Normal AND Hout=Normal AND L=Low AND Solar=Normal AND CO2=Normal AND Wind=Low AND W=3,Poor,0.4227221916334387,1,513,0.6305055313764549
Tin=Cold AND Tout=Normal AND Hout=Normal AND L=Normal AND CO2=Normal AND Wind=Medium AND E=Normal AND W=1,Poor,0.3441384694402771,1,1192,0.8470742932392908
Tin=Cold AND Tout=Normal AND Hout=Normal AND L=Normal AND Solar=Low AND CO2=Normal AND N=Low AND W=0,Acceptable,0.3647205136662925,1,368,0.9431057886389574
Tin=Cold AND Tout=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND Wind=Medium AND N=High AND W=3,Poor,0.5512251989853849,1,956,0.8023925216384514
Tin=Cold AND Tout=Normal AND Hout=Wet AND Solar=Low AND Wind=Medium AND N=Low AND E=Normal AND W=1,Poor,0.3434333997028867,1,1069,0.8710240801757151
Tin=Cold AND Tout=Normal AND L=Normal AND CO2=High AND Wind=Medium AND N=Normal AND E=Normal AND W=0,Poor,0.3815167031304585,1,1557,0.8979935008518882
Tin=Cold AND Tout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Low AND W=3,Acceptable,0.3886648532017841,1,465,0.5447813945678467
Tin=Hot AND Hin=Dry AND Hout=Dry AND L=Normal AND Solar=Low AND Wind=Medium AND N=High AND W=3,Poor,0.4712230537719842,1,1005,0.998195099917588
Tin=Hot AND Hin=Normal AND Hout=Normal AND L=Low AND Solar=Normal AND Wind=Medium AND N=High AND W=0,Acceptable,0.3896403947961707,1,7,0.999999999995179
Tin=Hot AND Hin=Normal AND Hout=Normal AND L=Normal AND CO2=Low AND Wind=Low AND E=High AND W=0,Poor,0.543187051484243,1,24,0.9999999999969312
