antecedent,consequent,weight,count,source_row,confidence
Tin=Cold AND Tout=Cold AND Hin=Dry AND Hout=Dry AND L=Normal AND Solar=Low AND CO2=Normal AND Wind=Medium AND N=Low AND E=Normal AND W=3,Acceptable,0.436781609195402,1,949,0.9999999999024014
Tin=Cold AND Tout=Cold AND Hin=Dry AND Hout=Dry AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=High AND E=Normal AND W=3,Poor,0.3878316056909303,1,473,0.9999999999820297
Tin=Cold AND Tout=Cold AND Hin=Dry AND Hout=Normal AND L=Normal AND Solar=Low AND CO2=Normal AND Wind=Medium AND N=Normal AND E=High AND W=1,Poor,0.3471002686724181,1,650,0.9999999987797757
Tin=Cold AND Tout=Cold AND Hin=Dry AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=High AND Wind=Medium AND N=Low AND E=Normal AND W=3,Acceptable,0.3700933227249464,1,446,0.9965638560131622
Tin=Cold AND Tout=Cold AND Hin=Dry AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Low AND E=Normal AND W=0,Poor,0.4629614147806409,2,532,0.9995318607130445
Tin=Cold AND Tout=Cold AND Hin=Normal AND Hout=Normal AND L=High AND Solar=Low AND CO2=Normal AND Wind=Low AND N=Low AND E=Normal AND W=3,Acceptable,0.3625827706879077,1,1464,0.9999999999454102
Tin=Cold AND Tout=Cold AND Hin=Normal AND Hout=Normal AND L=High AND Solar=Low AND CO2=Normal AND Wind=Medium AND N=Low AND E=High AND W=1,Poor,0.4628387830172555,1,828,0.9999999999938481
Tin=Cold AND Tout=Cold AND Hin=Normal AND Hout=Normal AND L=High AND Solar=Low AND CO2=Normal AND Wind=Medium AND N=Low AND E=Normal AND W=0,Acceptable,0.3503382766344813,1,754,0.9999999998927618
Tin=Cold AND Tout=Cold AND Hin=Normal AND Hout=Normal AND L=High AND Solar=Low AND CO2=Normal AND Wind=Medium AND N=Low AND E=Normal AND W=1,Poor,0.3686622817774463,1,1275,0.9999999999936245
Tin=Cold AND Tout=Cold AND Hin=Normal AND Hout=Normal AND L=High AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=0,Poor,0.4691137071970641,1,923,0.9999999999530907
Tin=Cold AND Tout=Cold AND Hin=Normal AND Hout=Normal AND L=Low AND Solar=High AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=3,Acceptable,0.3527086859150868,1,1480,0.999999999953748
Tin=Cold AND Tout=Cold AND Hin=Normal AND Hout=Normal AND L=Low AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=Normal AND E=Normal AND W=3,Acceptable,0.3773946360153258,1,948,0.3149303714244398
Tin=Cold AND Tout=Cold AND Hin=Normal AND Hout=Normal AND L=Low AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=Normal AND E=Normal AND W=3,Poor,0.3773946360153258,1,335,0.6821112352405739
Tin=Cold AND Tout=Cold AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Low AND CO2=High AND Wind=Medium AND N=Normal AND E=Normal AND W=0,Poor,0.3871386740170477,1,253,0.9999999999340974
Tin=Cold AND Tout=Cold AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Low AND CO2=Normal AND Wind=Low AND N=High AND E=Normal AND W=0,Poor,0.3600129144108526,1,801,0.9999999999012582
Tin=Cold AND Tout=Cold AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Low AND CO2=Normal AND Wind=Low AND N=Normal AND E=Normal AND W=0,Acceptable,0.442921736537652,1,1255,0.9999999999438692
Tin=Cold AND Tout=Cold AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Low AND CO2=Normal AND Wind=Medium AND N=Low AND E=Normal AND W=1,Poor,0.4659510231010071,1,1568,0.9997683156263082
Tin=Cold AND Tout=Cold AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Low AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=1,Poor,0.4448261135674538,2,861,0.9497393028661928
Tin=Cold AND Tout=Cold AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=High AND Wind=Medium AND N=Normal AND E=Normal AND W=3,Poor,0.3892633926594656,1,1699,0.9960357073485256
Tin=Cold AND Tout=Cold AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=High AND E=Normal AND W=0,Acceptable,0.4606321570498404,1,1547,0.9824808500613189
Tin=Cold AND Tout=Cold AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=Low AND E=High AND W=3,Poor,0.5523749726897227,1,1373,0.9999999999928557
Tin=Cold AND Tout=Cold AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Low AND E=Normal AND W=3,Acceptable,0.4135492769181966,1,690,0.8575295344420424
Tin=Cold AND Tout=Cold AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=0,Poor,0.3850714174734134,2,444,0.9250955912356355
Tin=Cold AND Tout=Cold AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=3,Poor,0.3773946360153258,1,240,0.6433048340517896
Tin=Cold AND Tout=Cold AND Hin=Normal AND Hout=Wet AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=1,Poor,0.3528675535429331,1,1712,0.9781876477241812
Tin=Cold AND Tout=Cold AND Hin=Wet AND Hout=Wet AND L=High AND Solar=Low AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=1,Poor,0.3347710434196441,1,1573,0.948345248498214
Tin=Cold AND Tout=Cold AND Hin=Wet AND Hout=Wet AND L=Normal AND Solar=Low AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=3,Poor,0.3470754564663936,1,941,0.9877957255167754
Tin=Cold AND Tout=Hot AND Hin=Dry AND Hout=Normal AND L=Low AND Solar=High AND CO2=High AND Wind=Medium AND N=Normal AND E=High AND W=3,Poor,0.4821109025009949,1,1051,0.9999999999878982
Tin=Cold AND Tout=Hot AND Hin=Normal AND Hout=Normal AND L=Low AND Solar=High AND CO2=Normal AND Wind=Medium AND N=Normal AND E=High AND W=3,Poor,0.6128459588116193,1,1158,0.9999999999927263
Tin=Cold AND Tout=Hot AND Hin=Normal AND Hout=Normal AND L=Low AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=High AND W=3,Acceptable,0.385548015402834,1,711,0.4936130707435601
Tin=Cold AND Tout=Hot AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Low AND CO2=Normal AND Wind=Medium AND N=Normal AND E=High AND W=2,Poor,0.4671356299462585,1,1124,0.9999999999609972
Tin=Cold AND Tout=Hot AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Low AND Wind=Low AND N=Normal AND E=High AND W=3,Poor,0.4824957705536721,1,386,0.9999999999308286
Tin=Cold AND Tout=Hot AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Low AND E=High AND W=3,Poor,0.4889323383650509,1,733,0.9205203640315243
Tin=Cold AND Tout=Hot AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=High AND W=0,Poor,0.5492279296696279,3,102,0.9999524117046291
Tin=Cold AND Tout=Hot AND Hin=Wet AND Hout=Normal AND L=Normal AND Solar=Low AND CO2=Normal AND Wind=Medium AND N=High AND E=Normal AND W=3,Acceptable,0.4162882188607112,1,1097,0.9999999999150164
Tin=Cold AND Tout=Normal AND Hin=Dry AND Hout=Dry AND L=High AND Solar=Low AND CO2=Normal AND Wind=Low AND N=Normal AND E=Normal AND W=0,Poor,0.449814108654158,1,506,0.9999999999610986
Tin=Cold AND Tout=Normal AND Hin=Dry AND Hout=Dry AND L=Low AND Solar=High AND CO2=Low AND Wind=Low AND N=Normal AND E=Low AND W=3,Acceptable,0.3468352275488481,1,1711,0.9999999999657178
Tin=Cold AND Tout=Normal AND Hin=Dry AND Hout=Dry AND L=Low AND Solar=High AND CO2=Low AND Wind=Medium AND N=Low AND E=Normal AND W=3,Acceptable,0.453727622846224,1,1559,0.9999999999719603
Tin=Cold AND Tout=Normal AND Hin=Dry AND Hout=Dry AND L=Low AND Solar=High AND CO2=Normal AND Wind=Low AND N=High AND E=Low AND W=3,Poor,0.4050857730345154,1,1491,0.999712769627599
Tin=Cold AND Tout=Normal AND Hin=Dry AND Hout=Dry AND L=Low AND Solar=High AND CO2=Normal AND Wind=Low AND N=Normal AND E=Normal AND W=3,Poor,0.3365878066960143,1,823,0.9295205645231474
Tin=Cold AND Tout=Normal AND Hin=Dry AND Hout=Dry AND L=Low AND Solar=Normal AND CO2=High AND Wind=Medium AND N=Normal AND E=Normal AND W=3,Acceptable,0.3377189381315567,1,877,0.9999999999276873
Tin=Cold AND Tout=Normal AND Hin=Dry AND Hout=Dry AND L=Low AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=3,Poor,0.4731800766283526,1,593,0.9287740416917591
Tin=Cold AND Tout=Normal AND Hin=Dry AND Hout=Dry AND L=Normal AND Solar=Low AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=0,Poor,0.3892064869079467,1,995,0.9999169136598788
Tin=Cold AND Tout=Normal AND Hin=Dry AND Hout=Dry AND L=Normal AND Solar=Normal AND CO2=Low AND Wind=Medium AND N=Normal AND E=Normal AND W=0,Poor,0.4252209222071715,1,1303,0.999919441380616
Tin=Cold AND Tout=Normal AND Hin=Dry AND Hout=Dry AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=Low AND E=Low AND W=3,Acceptable,0.356723147078603,1,866,0.1325378764923809
Tin=Cold AND Tout=Normal AND Hin=Dry AND Hout=Dry AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=Low AND E=Low AND W=3,Poor,0.4466687976915065,2,1305,0.8674621234967416
Tin=Cold AND Tout=Normal AND Hin=Dry AND Hout=Dry AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=Normal AND E=Normal AND W=3,Acceptable,0.3562649196688218,1,563,0.5778806639850662
Tin=Cold AND Tout=Normal AND Hin=Dry AND Hout=Dry AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=Normal AND E=Normal AND W=3,Poor,0.3926059340600536,1,381,0.4221193359996687
Tin=Cold AND Tout=Normal AND Hin=Dry AND Hout=Dry AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Low AND E=Low AND W=0,Poor,0.3547796787113236,1,1762,0.9999999998995638
Tin=Cold AND Tout=Normal AND Hin=Dry AND Hout=Dry AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Low AND E=Normal AND W=3,Poor,0.3597753203684974,2,426,0.9900825957373295
Tin=Cold AND Tout=Normal AND Hin=Dry AND Hout=Normal AND L=Low AND Solar=High AND CO2=High AND Wind=Medium AND N=Low AND E=Low AND W=3,Poor,0.3760491235476814,1,1295,0.9999999999755592
Tin=Cold AND Tout=Normal AND Hin=Dry AND Hout=Normal AND L=Normal AND Solar=Low AND CO2=High AND Wind=Medium AND N=Low AND E=Normal AND W=0,Poor,0.4382891681034271,1,31,0.9999999999555395
Tin=Cold AND Tout=Normal AND Hin=Dry AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=High AND Wind=Medium AND N=Low AND E=Normal AND W=3,Poor,0.3501116152988714,1,263,0.6636537985285733
