antecedent,consequent,weight,count,source_row,confidence
Hin=Dry AND Hout=Dry AND L=Low AND Solar=High AND CO2=Normal AND Wind=Medium AND N=Low AND W=3,Acceptable,0.3422021230899399,1,559,0.7847939036216653
Hin=Dry AND Hout=Dry AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=Low AND W=3,Acceptable,0.4417605986726478,1,1396,0.47874460905168414
Hin=Dry AND Hout=Dry AND L=Normal AND Solar=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=3,Acceptable,0.3880291255617379,1,958,0.7719380133350537
Hin=Dry AND Hout=Dry AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=High AND W=3,Poor,0.3412549709664377,1,1760,0.9796608620237744
Hin=Dry AND Hout=Dry AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=0,Acceptable,0.4631653806634147,1,11,0.8578444064830929
Hin=Dry AND Hout=Normal AND L=Normal AND Solar=Low AND CO2=High AND Wind=Medium AND N=Low AND W=0,Poor,0.4382891681034271,1,31,0.9087069886461295
Hin=Dry AND L=Low AND Solar=High AND CO2=Normal AND Wind=Low AND N=Normal AND E=High AND W=3,Acceptable,0.4130995612362753,1,767,0.9999999999967119
Hin=Normal AND Hout=Dry AND L=Normal AND Solar=Normal AND Wind=Medium AND N=Normal AND E=High AND W=3,Acceptable,0.370843424164077,1,764,0.7734883925549341
Hin=Normal AND Hout=Normal AND L=High AND CO2=Normal AND Wind=Medium AND N=Low AND E=Normal AND W=0,Acceptable,0.3579452921518115,1,258,0.971156878149702
Hin=Normal AND Hout=Normal AND L=High AND Solar=Low AND CO2=High AND N=Low AND E=Normal AND W=1,Poor,0.3656219389623868,1,344,0.9910744682571021
Hin=Normal AND Hout=Normal AND L=High AND Solar=Low AND CO2=High AND Wind=Low AND N=High AND W=3,Acceptable,0.392081521650118,1,1263,0.9999999999950674
Hin=Normal AND Hout=Normal AND L=High AND Solar=Low AND CO2=Normal AND N=Normal AND E=High AND W=1,Poor,0.4398912139606609,1,80,0.9723334210149892
Hin=Normal AND Hout=Normal AND L=High AND Solar=Low AND CO2=Normal AND N=Normal AND E=Normal AND W=1,Acceptable,0.4279348200827344,1,135,0.8974550620497289
Hin=Normal AND Hout=Normal AND L=High AND Solar=Low AND CO2=Normal AND Wind=Medium AND E=High AND W=2,Poor,0.3773946360153258,1,558,0.9999999999981686
Hin=Normal AND Hout=Normal AND L=High AND Solar=Low AND Wind=Medium AND N=Low AND E=Normal AND W=0,Acceptable,0.3924276811787918,1,16,0.9820668835322193
Hin=Normal AND Hout=Normal AND L=High AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND W=0,Acceptable,0.4810703897285107,1,1174,0.9110473399126522
Hin=Normal AND Hout=Normal AND L=Low AND CO2=High AND Wind=Low AND N=Low AND E=Low AND W=3,Poor,0.3811679252813449,1,1274,0.8610417364529077
Hin=Normal AND Hout=Normal AND L=Low AND CO2=Low AND Wind=Medium AND N=High AND E=Low AND W=3,Acceptable,0.4107565445486801,1,1025,0.8961764268550486
Hin=Normal AND Hout=Normal AND L=Low AND Solar=High AND CO2=High AND Wind=Medium AND N=Normal AND W=3,Acceptable,0.4426960432168499,1,443,0.5034155191814993
Hin=Normal AND Hout=Normal AND L=Low AND Solar=High AND CO2=Normal AND Wind=Low AND E=High AND W=3,Acceptable,0.3932925461229098,1,139,0.9999999999992968
Hin=Normal AND Hout=Normal AND L=Low AND Solar=High AND Wind=Low AND N=Low AND E=Normal AND W=3,Good,0.4383871391727515,1,326,0.9152901563935594
Hin=Normal AND Hout=Normal AND L=Low AND Solar=High AND Wind=Low AND N=Normal AND E=Low AND W=3,Good,0.5513594772711643,1,2,0.9275672335258588
Hin=Normal AND Hout=Normal AND L=Low AND Solar=High AND Wind=Medium AND N=High AND E=High AND W=3,Acceptable,0.3526661253407057,1,779,0.9999999999961681
Hin=Normal AND Hout=Normal AND L=Low AND Solar=High AND Wind=Medium AND N=High AND E=Normal AND W=3,Good,0.4211229563313982,1,1176,0.7880766198081671
Hin=Normal AND Hout=Normal AND L=Low AND Solar=Normal AND CO2=High AND Wind=Medium AND N=Low AND W=3,Acceptable,0.4073535294910712,1,66,0.7754335719772557
Hin=Normal AND Hout=Normal AND L=Low AND Solar=Normal AND CO2=Normal AND Wind=Medium AND E=Normal AND W=3,Acceptable,0.3600729821443305,1,1518,0.287683437174533
Hin=Normal AND Hout=Normal AND L=Normal AND CO2=Normal AND Wind=Medium AND N=High AND E=High AND W=0,Poor,0.3472952432218205,1,1697,0.32977300109098256
Hin=Normal AND Hout=Normal AND L=Normal AND CO2=Normal AND Wind=Medium AND N=Low AND E=Normal AND W=0,Acceptable,0.3882677387968317,1,190,0.8011830100282133
Hin=Normal AND Hout=Normal AND L=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=0,Acceptable,0.3492591028109878,1,414,0.8715314955606014
