antecedent,consequent,weight,source_row
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Low AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Low AND E=Low AND W=3,Good,0.436781609195402,0
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Low AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=1,Acceptable,0.5018667663185358,1
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Low AND Solar=High AND CO2=Normal AND Wind=Low AND N=Normal AND E=Low AND W=3,Good,0.5513594772711643,2
Tin=Hot AND Tout=Normal AND Hin=Wet AND Hout=Wet AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=High AND E=Normal AND W=0,Poor,0.3908748192542317,3
Tin=Cold AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=High AND N=Normal AND E=Normal AND W=3,Acceptable,0.3430685223478066,4
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Low AND Solar=High AND CO2=Normal AND Wind=High AND N=Normal AND E=Normal AND W=3,Good,0.3626281312215351,5
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Low AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=1,Acceptable,0.3776995625951109,6
Tin=Hot AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Low AND Solar=Normal AND CO2=High AND Wind=Medium AND N=High AND E=Normal AND W=0,Acceptable,0.3896403947961707,7
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=High AND E=Normal AND W=3,Acceptable,0.5753981039492658,8
Tin=Normal AND Tout=Normal AND Hin=Dry AND Hout=Dry AND L=Low AND Solar=High AND CO2=Normal AND Wind=Low AND N=Normal AND E=Low AND W=3,Good,0.3715768072517275,9
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=3,Good,0.4126564505499533,10
Tin=Normal AND Tout=Cold AND Hin=Dry AND Hout=Dry AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=0,Acceptable,0.4631653806634147,11
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=0,Acceptable,0.3390519236416584,12
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Low AND Solar=High AND CO2=Normal AND Wind=Medium AND N=High AND E=Low AND W=3,Good,0.3830583008575619,13
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Low AND E=Normal AND W=0,Acceptable,0.3446236113962101,14
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Low AND Wind=Low AND N=Normal AND E=Normal AND W=0,Acceptable,0.3451740394592685,15
Tin=Normal AND Tout=Hot AND Hin=Normal AND Hout=Normal AND L=High AND Solar=Low AND CO2=Normal AND Wind=Medium AND N=Low AND E=Normal AND W=0,Acceptable,0.3924276811787918,16
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=High AND Wind=Low AND N=Normal AND E=Normal AND W=0,Acceptable,0.3499092981010447,17
Tin=Hot AND Tout=Normal AND Hin=Wet AND Hout=Wet AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=0,Poor,0.4197248730733079,18
Tin=Hot AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Low AND CO2=Normal AND Wind=High AND N=High AND E=High AND W=2,Poor,0.4427907286744215,19
Tin=Normal AND Tout=Normal AND Hin=Wet AND Hout=Wet AND L=Normal AND Solar=Low AND CO2=High AND Wind=Medium AND N=Normal AND E=Normal AND W=1,Acceptable,0.3773946360153258,20
Tin=Normal AND Tout=Cold AND Hin=Wet AND Hout=Wet AND L=Normal AND Solar=Low AND CO2=Low AND Wind=Medium AND N=Low AND E=Normal AND W=1,Poor,0.4057794995688902,21
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Low AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=Low AND E=Normal AND W=3,Good,0.33928728278155,22
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Low AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=3,Good,0.3773946360153258,23
Tin=Hot AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Low AND Wind=Low AND N=Normal AND E=High AND W=0,Poor,0.543187051484243,24
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=High AND Solar=Low AND CO2=High AND Wind=Low AND N=Normal AND E=Normal AND W=1,Acceptable,0.3889794388052136,25
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Low AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=High AND E=Normal AND W=3,Good,0.4009496221878482,26
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=High AND Solar=Low AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=2,Poor,0.3696275961267605,27
